Node,Pagerank 
0,0.001562531
1,0.000375991
2,0.000155673
3,0.00029649
4,0.000426847
5,0.00070122
6,0.000492415
7,0.001259614
8,0.000602281
9,0.000197745
10,9.50E-05
11,0.000419934
12,0.000881431
13,0.000167181
14,0.000420041
15,0.000490317
16,0.000691168
17,0.000638496
18,0.000549939
19,0.001394027
20,0.000472876
21,9.94E-05
22,0.000229848
23,0.000849367
24,0.000836845
25,0.000570024
26,0.000129988
27,0.000260671
28,0.000102257
29,0.000183867
30,0.000472236
31,0.000211534
32,0.000453527
33,0.000186074
34,0.000247816
35,0.000169116
36,0.000752844
37,0.000563384
38,0.000306359
39,0.000619629
40,0.000318613
41,0.000179619
42,0.000239398
43,0.000134789
44,0.000306488
45,0.000664198
46,0.000721311
47,0.000178198
48,0.000336619
49,0.001361112
50,0.000109968
51,0.000793619
52,0.000269706
53,0.000990949
54,0.000549642
55,0.000842782
56,0.000166643
57,0.000158187
58,0.000421612
59,0.000129712
60,0.000155693
61,0.000271916
62,0.000628939
63,0.001081614
64,0.000322551
65,0.000297015
66,0.000283451
67,0.000432645
68,0.000575839
69,0.000396112
70,0.000724851
71,0.000990443
72,0.000671295
73,0.000592347
74,0.00019686
75,0.000426685
76,0.000879066
77,0.000176778
78,0.000187204
79,0.000319977
80,0.000321452
81,0.001002822
82,0.000578557
83,0.000182043
84,0.000558896
85,0.00044196
86,0.000202621
87,0.000517182
88,0.00012729
89,0.000236585
90,0.000786634
91,0.000459833
92,0.000279963
93,0.000595179
94,0.000467637
95,0.000744053
96,0.00105774
97,0.00038898
98,0.00047437
99,0.000643272
100,0.000141461
101,0.00156919
102,0.000398146
103,0.00073517
104,0.00050467
105,0.000810628
106,0.000502574
107,0.000458715
108,0.000943379
109,0.000244554
110,0.000136492
111,0.000534481
112,0.000176991
113,0.001134195
114,0.00011702
115,0.000470594
116,0.000510446
117,0.000145787
118,0.00042602
119,0.001159043
120,0.000217675
121,0.000249753
122,0.000349787
123,0.000497603
124,0.001350886
125,0.000564586
126,0.000688223
127,0.000513578
128,0.000305916
129,0.00103145
130,0.000748356
131,0.000344077
132,0.000122841
133,0.000589334
134,0.00015181
135,0.000862878
136,0.000499739
137,0.000556897
138,0.000517608
139,0.000620239
140,0.000376645
141,0.000545882
142,0.000516593
143,0.000543995
144,0.000308605
145,0.000328219
146,0.000773191
147,0.000729717
148,0.000504165
149,0.000807909
150,0.000562674
151,0.000699387
152,0.00035394
153,0.000100775
154,0.000670423
155,0.000663837
156,0.000870645
157,0.000153622
158,0.000230055
159,0.000202356
160,0.000951826
161,0.000626998
162,0.000228272
163,0.00028036
164,0.000536687
165,0.000838243
166,0.000213347
167,0.000538336
168,0.00072716
169,0.000640368
170,0.000627817
171,0.000522821
172,0.000337924
173,0.000718775
174,0.00010294
175,0.000268958
176,0.000488251
177,0.000275233
178,0.000711468
179,0.000205347
180,0.000239303
181,0.000505673
182,0.001018467
183,0.000872887
184,0.000464337
185,0.000787177
186,0.00033375
187,0.000880096
188,0.000584217
189,0.000118623
190,9.84E-05
191,0.000447698
192,0.000946461
193,0.000428862
194,0.000111749
195,0.000286638
196,0.000706205
197,0.000442501
198,0.000589334
199,0.000855098
200,0.000595331
201,0.000272335
202,0.000785784
203,0.000834295
204,0.000178734
205,0.000254435
206,0.000663105
207,0.000236167
208,0.000574813
209,0.000287454
210,0.000654343
211,0.000620913
212,9.86E-05
213,0.000152928
214,0.00093847
215,0.000352407
216,0.000658662
217,0.000818917
218,0.000786857
219,0.000913611
220,0.000944606
221,0.00049385
222,0.0006455
223,0.000309008
224,0.000275883
225,0.000589949
226,0.000482162
227,0.000389489
228,0.000783597
229,0.000153195
230,0.000544949
231,0.000855484
232,0.000701037
233,0.000305193
234,0.000806804
235,0.000247238
236,0.000205146
237,0.000265246
238,0.000509984
239,0.000157594
240,0.000215317
241,0.000562812
242,0.00033626
243,0.00083805
244,0.0005309
245,0.00064315
246,0.00044596
247,0.000164413
248,0.000571368
249,0.0001419
250,0.000139527
251,0.000482398
252,0.00015205
253,0.000211589
254,0.000118178
255,0.000298406
256,0.000322456
257,0.00063676
258,0.000199986
259,0.000704164
260,0.000417458
261,0.000583048
262,0.001111762
263,0.000740453
264,0.000318746
265,0.000637144
266,0.000274124
267,0.000493288
268,0.000469587
269,0.000617919
270,0.000292553
271,0.001470367
272,0.000435869
273,0.000184527
274,0.000528287
275,0.000339014
276,0.000204436
277,0.000508242
278,0.000555558
279,0.000575153
280,0.000340859
281,0.000118243
282,0.000136615
283,0.000628321
284,0.000388645
285,0.000615825
286,0.000518861
287,0.000486656
288,0.000460086
289,0.001189478
290,0.001055042
291,0.001106698
292,0.000486385
293,0.000258517
294,0.00064985
295,0.000680994
296,0.000137661
297,0.000629929
298,0.000828806
299,0.000491891
300,0.00096738
301,0.000563441
302,0.000340893
303,0.000438488
304,0.000206419
305,9.80E-05
306,0.000147476
307,0.0004017
308,0.000671943
309,0.000373314
310,0.000523585
311,0.00076088
312,0.000325782
313,0.000447654
314,0.001110286
315,9.78E-05
316,0.00017508
317,0.000148392
318,0.000314846
319,0.000700876
320,0.000439192
321,0.000698244
322,0.000565337
323,0.000143809
324,0.000103317
325,0.000287771
326,0.000478945
327,0.000588799
328,0.000453421
329,0.000230864
330,0.000477392
331,0.000784729
332,0.000598483
333,0.00028097
334,0.000326769
335,0.000125553
336,0.000136316
337,0.000352203
338,0.000647918
339,0.000188649
340,0.000634577
341,0.000331723
342,0.000312358
343,0.001003941
344,0.000424203
345,0.000465064
346,0.000638287
347,0.000545189
348,0.001180739
349,0.000422199
350,0.000665681
351,0.000422334
352,0.000940057
353,0.000295266
354,0.000381218
355,0.000187999
356,0.000135512
357,0.00102596
358,0.000485529
359,0.000588684
360,0.000111337
361,0.000455686
362,0.000380361
363,0.000406578
364,0.000252732
365,0.000125691
366,0.000366601
367,0.00010811
368,0.000124028
369,0.000491505
370,0.000106146
371,0.001765098
372,0.000199337
373,0.000530394
374,0.000152326
375,0.000319452
376,0.000135868
377,0.000183882
378,0.000433299
379,0.000363141
380,0.000679323
381,0.000153167
382,0.000127264
383,0.000712142
384,0.000382428
385,0.000174179
386,0.00029104
387,0.000744537
388,0.000265246
389,0.001078266
390,0.000939637
391,0.000441386
392,0.000761696
393,0.000319531
394,0.000574507
395,0.000288115
396,0.000527413
397,0.000200672
398,0.000632007
399,0.000205064
400,0.000703825
401,0.000190843
402,0.000480946
403,0.00014141
404,0.00056348
405,0.000195401
406,0.000171177
407,0.000116028
408,0.000241187
409,0.000138677
410,0.000471742
411,0.000390546
412,0.000675949
413,0.000119413
414,0.000285714
415,0.0004999
416,0.000693832
417,0.000267406
418,0.000484227
419,0.000123407
420,0.000176215
421,0.000686009
422,0.000588799
423,0.000451206
424,0.000425529
425,0.000226898
426,0.000459686
427,0.00031643
428,0.00010234
429,0.00047834
430,0.000546375
431,0.000107629
432,0.000480411
433,0.000250493
434,0.00068322
435,0.000358594
436,0.000527472
437,0.000387946
438,0.000935959
439,0.000399785
440,0.00023512
441,0.000186618
442,0.000561231
443,0.000807571
444,0.000823499
445,0.000173353
446,0.000373567
447,0.000408845
448,0.000606867
449,0.000597224
450,0.000368861
451,0.000342978
452,0.000578899
453,0.000348373
454,0.000686064
455,0.000673041
456,0.000541622
457,0.000467625
458,0.000929277
459,0.000158636
460,0.000767165
461,0.001208051
462,0.000706166
463,0.000918804
464,0.000803657
465,9.68E-05
466,0.000278716
467,0.000214809
468,0.000569781
469,0.000401146
470,0.000532243
471,0.000339969
472,0.000371318
473,0.000429936
474,0.000637697
475,0.000321504
476,0.000112655
477,0.000258539
478,9.51E-05
479,0.00010647
480,0.000290951
481,0.000205364
482,0.00035448
483,0.000445803
484,0.000436908
485,0.000170871
486,0.000747742
487,0.000926862
488,0.000831457
489,0.000254379
490,0.000470279
491,0.000121377
492,0.000145683
493,0.000500913
494,0.000139131
495,0.00035313
496,0.000811742
497,0.000910731
498,0.000439934
499,0.000463915
500,0.000646614
501,0.000127312
502,0.000622424
503,0.000156658
504,0.000464766
505,0.000704874
506,0.000753501
507,0.001017851
508,0.000365533
509,0.000333446
510,0.000558965
511,0.000259128
512,0.000485537
513,0.000587935
514,0.000540765
515,0.000148402
516,0.00047289
517,0.000488195
518,0.000360309
519,0.000456227
520,0.000430929
521,0.000108103
522,0.000793549
523,0.000913335
524,0.000336342
525,0.000800063
526,0.000535003
527,0.000531202
528,0.000815869
529,0.000189715
530,0.000465478
531,0.000447984
532,0.000286155
533,0.00066853
534,0.000597464
535,0.000137241
536,0.000764177
537,0.000503589
538,0.000825839
539,0.000454933
540,0.000519526
541,0.000434199
542,0.000111611
543,0.000724023
544,0.000281116
545,0.000126204
546,0.000437557
547,0.000491973
548,0.000683067
549,0.000385342
550,0.001031087
551,0.000360292
552,0.000130247
553,0.000705959
554,0.000559201
555,0.000422948
556,0.000126281
557,0.000455917
558,0.000230741
559,0.000794472
560,0.000511192
561,0.000246486
562,0.000535223
563,0.000645392
564,0.000107414
565,0.000184949
566,0.000427908
567,0.000458494
568,0.000864132
569,0.00046389
570,0.000342414
571,0.000806349
572,0.000584324
573,0.000579807
574,0.000649906
575,0.000240354
576,0.000373833
577,0.000217676
578,0.000192377
579,0.0001893
580,0.00043958
581,0.000276621
582,0.000426646
583,0.000293367
584,0.000487606
585,0.0005466
586,0.000185047
587,0.000111165
588,0.000482572
589,0.000414626
590,0.000317763
591,0.000258234
592,0.000416914
593,0.000178213
594,0.000117015
595,0.000937717
596,0.000974997
597,0.000452264
598,0.000580915
599,0.000194567
600,0.000671267
601,9.54E-05
602,0.000563361
603,0.000185593
604,0.000502461
605,0.000166253
606,0.000536326
607,0.000141786
608,0.000112377
609,0.000414215
610,0.000536753
611,0.000260891
612,0.000542711
613,0.000488556
614,0.000202283
615,0.000603058
616,0.000379373
617,0.000847063
618,0.000144796
619,0.00032062
620,0.000489074
621,0.001126298
622,0.000984724
623,0.001051579
624,0.000643871
625,0.001117813
626,0.000654122
627,0.001812058
628,0.000240035
629,0.000372006
630,0.00032021
631,0.000217336
632,0.000283575
633,0.000639947
634,0.000111905
635,0.000483796
636,0.000154722
637,0.000909577
638,0.000155051
639,0.000143446
640,0.00030158
641,0.000362606
642,0.000454516
643,0.000127
644,0.000653311
645,0.00082687
646,0.000196085
647,0.000904571
648,0.000534981
649,0.000739378
650,0.000170561
651,0.000147334
652,0.000328735
653,0.000389652
654,0.000424668
655,0.000599617
656,0.00021995
657,0.000215385
658,0.000451968
659,0.000296316
660,0.000929187
661,0.000792704
662,0.000592599
663,0.00060366
664,0.0004148
665,0.000378829
666,0.000665971
667,0.000611897
668,0.000141658
669,0.000470705
670,0.00046897
671,0.00013526
672,0.000310141
673,0.000610627
674,0.000875595
675,0.000308806
676,0.000389434
677,0.000585644
678,9.69E-05
679,0.000696202
680,0.000196035
681,0.000729652
682,0.000437401
683,0.000531371
684,0.000430444
685,0.000181324
686,0.000172679
687,0.000684172
688,0.000468396
689,0.0006082
690,0.000541374
691,0.000517
692,0.000616751
693,0.000273568
694,9.96E-05
695,0.000327902
696,0.000483053
697,0.000137083
698,0.000309274
699,0.00033229
700,0.000689542
701,0.000134695
702,0.000454384
703,0.000764603
704,0.000339197
705,0.0002573
706,9.93E-05
707,0.00010529
708,0.000259128
709,0.000524518
710,0.000312452
711,0.000376502
712,0.000647013
713,0.000434928
714,0.000175872
715,0.0003423
716,0.000182943
717,0.000163779
718,0.000338384
719,0.000106049
720,0.000166116
721,0.000138391
722,0.000690578
723,0.000362217
724,0.000428113
725,0.000351335
726,0.00029225
727,0.000454791
728,0.00073456
729,0.000462864
730,0.000532361
731,0.000674549
732,0.000139756
733,0.000438347
734,0.000610734
735,0.000503719
736,0.000148935
737,0.001003456
738,0.00029176
739,0.000116277
740,0.000488052
741,0.000267615
742,0.000232724
743,0.000505376
744,0.000223206
745,0.000321287
746,0.00017173
747,0.000281741
748,0.000257204
749,0.000536662
750,0.000783431
751,0.000207706
752,0.00012182
753,0.000513886
754,0.000139434
755,0.001260595
756,0.001255029
757,0.000861629
758,0.000223322
759,0.000589396
760,0.000142141
761,0.000279301
762,0.000471313
763,0.000587772
764,0.000399348
765,0.000252502
766,0.000517672
767,0.000659969
768,9.59E-05
769,0.000419039
770,0.000535448
771,0.000579731
772,0.000611506
773,0.000183859
774,0.000588527
775,0.001144164
776,0.00045523
777,0.000247833
778,0.000374972
779,0.000165132
780,0.000484738
781,0.000324587
782,0.001113719
783,0.001051034
784,9.81E-05
785,0.000387525
786,0.000363016
787,0.000513104
788,0.000380099
789,0.000678352
790,0.000554585
791,0.00034136
792,0.000764752
793,0.000186078
794,0.000520694
795,0.000652471
796,0.000327845
797,0.000567538
798,0.000647091
799,0.000398937
800,0.000922347
801,0.000348003
802,0.000124904
803,0.000396881
804,0.001188461
805,0.000867465
806,0.000175247
807,0.000464563
808,0.000436477
809,0.001238012
810,0.000428344
811,0.001291884
812,0.000123195
813,0.000570539
814,0.000168472
815,0.000595303
816,0.000658421
817,0.000495773
818,0.001036355
819,0.000716585
820,0.000557083
821,0.000337038
822,0.000259207
823,0.000368354
824,0.000299261
825,0.000529196
826,0.000659719
827,0.000817345
828,0.000664298
829,0.0001241
830,0.000305399
831,0.000272755
832,0.000636928
833,0.000327155
834,0.000570392
835,0.000148714
836,0.000832892
837,0.000256918
838,0.0006418
839,0.000120215
840,0.000430683
841,0.000106352
842,0.000222879
843,0.000201011
844,9.90E-05
845,0.000113104
846,0.000157998
847,0.000330271
848,0.000529967
849,0.00040202
850,0.000829873
851,0.000974614
852,0.000137404
853,0.000136787
854,0.000840214
855,0.000562852
856,0.000122297
857,0.000124777
858,0.000468422
859,0.000382717
860,0.000183906
861,0.000111327
862,0.000272661
863,0.000260127
864,0.000244278
865,0.000559163
866,0.000176897
867,0.000631128
868,0.000327707
869,0.000112344
870,0.000455325
871,0.000744475
872,0.000423629
873,0.00015345
874,0.000518939
875,0.000490673
876,0.000755119
877,0.000179813
878,0.000645826
879,0.000344877
880,0.001657234
881,0.000769772
882,0.000666145
883,0.000740353
884,0.000891138
885,0.000513567
886,0.001442606
887,0.00071551
888,0.001001776
889,0.001865507
890,0.000412692
891,0.000145053
892,0.000217875
893,0.000144417
894,0.000716887
895,0.000416438
896,0.000441175
897,0.000161607
898,0.000607762
899,0.000817111
900,0.000450684
901,0.000466788
902,0.000123848
903,0.000256123
904,0.000689384
905,0.000640672
906,0.001433162
907,0.001027325
908,0.000447281
909,0.000262988
910,0.001027567
911,0.000257117
912,0.000548277
913,0.000406893
914,0.000864493
915,0.000379679
916,0.000269213
917,0.001174216
918,0.000888415
919,0.000526655
920,0.000750646
921,0.000190175
922,0.001235551
923,0.000490451
924,0.000205051
925,0.000125028
926,0.00016258
927,0.000554278
928,0.000828643
929,0.000380869
930,0.000442484
931,0.000805063
932,0.000714532
933,0.000896395
934,0.000428332
935,0.000842189
936,0.000160969
937,0.000979292
938,0.000262047
939,0.000496261
940,0.000206553
941,0.000772399
942,0.000682541
943,0.000307744
944,0.001245639
945,0.000898803
946,0.000916253
947,0.000245441
948,0.000508944
949,0.000336415
950,0.000120212
951,0.000559792
952,0.000295798
953,0.000304271
954,0.000418289
955,0.000794483
956,0.000528074
957,0.000412975
958,0.000752243
959,0.000962992
960,0.000277094
961,0.000117061
962,0.000299134
963,0.00038272
964,0.000761989
965,0.000265169
966,0.0007869
967,0.000681496
968,0.00088288
969,0.000202039
970,0.000803935
971,0.000321292
972,0.000270709
973,0.000486343
974,0.000400991
975,0.000239967
976,0.00011024
977,0.000367184
978,0.000537965
979,0.000608307
980,0.000697645
981,0.000641146
982,0.000571284
983,0.000481394
984,0.000318272
985,0.001493684
986,0.000186607
987,0.000303167
988,0.000483876
989,0.000460441
990,0.000169194
991,0.000393522
992,0.000407625
993,0.00076329
994,0.001038551
995,0.000357816
996,0.000529151
997,0.000822556
998,0.000204497
999,0.000610111
1000,0.000368013
1001,0.000110313
1002,9.91E-05
1003,0.000425217
1004,0.000312759
